Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,India,Southern India,IN-SO,480.82,527.25,36.09,26.68,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 01:00:00,India,Southern India,IN-SO,487.72,534.64,35.17,26.21,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 02:00:00,India,Southern India,IN-SO,417.07,464.12,44.56,37.38,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 03:00:00,India,Southern India,IN-SO,392.57,440.04,47.82,41.67,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 04:00:00,India,Southern India,IN-SO,395.27,443.26,47.46,41.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 05:00:00,India,Southern India,IN-SO,390.24,438.17,48.13,42.54,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 06:00:00,India,Southern India,IN-SO,396.37,444.58,47.31,41.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 07:00:00,India,Southern India,IN-SO,391.39,439.48,47.97,42.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 08:00:00,India,Southern India,IN-SO,383.36,431.17,49.04,43.27,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 09:00:00,India,Southern India,IN-SO,384.42,432.25,48.9,43.02,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 10:00:00,India,Southern India,IN-SO,385.63,433.33,48.74,42.64,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 11:00:00,India,Southern India,IN-SO,392.93,440.41,47.77,41.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 12:00:00,India,Southern India,IN-SO,443.39,490.4,41.06,32.72,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 13:00:00,India,Southern India,IN-SO,493.84,541.22,34.36,25.23,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 14:00:00,India,Southern India,IN-SO,492.8,540.1,34.49,25.31,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 15:00:00,India,Southern India,IN-SO,489.98,537.06,34.87,25.53,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 16:00:00,India,Southern India,IN-SO,489.98,537.06,34.87,25.57,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 17:00:00,India,Southern India,IN-SO,487.85,534.74,35.15,25.75,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 18:00:00,India,Southern India,IN-SO,475.85,522.0,36.74,26.36,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 19:00:00,India,Southern India,IN-SO,472.26,518.15,37.22,26.68,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 20:00:00,India,Southern India,IN-SO,466.92,512.42,37.93,27.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 21:00:00,India,Southern India,IN-SO,463.71,508.98,38.36,27.41,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 22:00:00,India,Southern India,IN-SO,463.6,508.86,38.37,27.5,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-01 23:00:00,India,Southern India,IN-SO,468.78,514.42,37.68,27.19,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 00:00:00,India,Southern India,IN-SO,480.08,526.54,36.18,26.32,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 01:00:00,India,Southern India,IN-SO,500.83,548.81,33.42,24.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 02:00:00,India,Southern India,IN-SO,424.03,471.79,43.63,36.21,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 03:00:00,India,Southern India,IN-SO,394.63,442.59,47.54,41.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 04:00:00,India,Southern India,IN-SO,391.27,439.48,47.99,41.98,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 05:00:00,India,Southern India,IN-SO,390.55,438.94,48.08,42.24,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 06:00:00,India,Southern India,IN-SO,403.36,452.28,46.38,40.7,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 07:00:00,India,Southern India,IN-SO,402.08,451.08,46.55,40.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 08:00:00,India,Southern India,IN-SO,394.33,443.13,47.58,41.56,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 09:00:00,India,Southern India,IN-SO,391.26,439.98,47.99,41.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2022-01-02 10:00:00,India,Southern India,IN-SO,386.87,435.3,48.57,42.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
