Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,India,Southern India,IN-SO,559.01,609.39,26.02,17.44,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 01:00:00,India,Southern India,IN-SO,567.65,618.63,24.88,16.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 02:00:00,India,Southern India,IN-SO,494.75,545.28,34.52,28.11,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 03:00:00,India,Southern India,IN-SO,485.45,536.79,35.76,30.67,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 04:00:00,India,Southern India,IN-SO,478.52,529.87,36.67,31.81,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 05:00:00,India,Southern India,IN-SO,486.07,537.83,35.67,31.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 06:00:00,India,Southern India,IN-SO,461.75,512.65,38.9,33.93,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 07:00:00,India,Southern India,IN-SO,448.6,499.06,40.64,35.42,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 08:00:00,India,Southern India,IN-SO,435.75,485.73,42.34,36.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 09:00:00,India,Southern India,IN-SO,432.74,482.57,42.74,36.99,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 10:00:00,India,Southern India,IN-SO,427.83,477.28,43.39,37.28,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 11:00:00,India,Southern India,IN-SO,430.88,479.93,42.98,36.27,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 12:00:00,India,Southern India,IN-SO,501.44,551.01,33.65,25.58,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 13:00:00,India,Southern India,IN-SO,547.99,597.68,27.49,18.26,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 14:00:00,India,Southern India,IN-SO,537.13,586.06,28.93,19.01,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 15:00:00,India,Southern India,IN-SO,524.55,572.6,30.59,19.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
