Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,India,Southern India,IN-SO,495.75,544.07,33.81,27.37,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 01:00:00,India,Southern India,IN-SO,499.42,548.02,33.32,27.22,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 02:00:00,India,Southern India,IN-SO,416.22,464.43,44.43,39.65,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 03:00:00,India,Southern India,IN-SO,386.9,435.26,48.34,44.3,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 04:00:00,India,Southern India,IN-SO,389.21,438.04,48.03,44.34,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 05:00:00,India,Southern India,IN-SO,383.68,432.41,48.77,45.13,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 06:00:00,India,Southern India,IN-SO,384.73,433.61,48.63,45.04,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 07:00:00,India,Southern India,IN-SO,379.93,428.62,49.27,45.63,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 08:00:00,India,Southern India,IN-SO,372.87,421.23,50.22,46.45,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 09:00:00,India,Southern India,IN-SO,373.69,421.98,50.11,46.29,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 10:00:00,India,Southern India,IN-SO,375.65,423.82,49.84,45.9,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 11:00:00,India,Southern India,IN-SO,383.19,431.13,48.84,44.58,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 12:00:00,India,Southern India,IN-SO,437.9,485.55,41.53,36.05,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 13:00:00,India,Southern India,IN-SO,492.83,540.93,34.2,28.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 14:00:00,India,Southern India,IN-SO,491.36,539.35,34.39,28.3,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 15:00:00,India,Southern India,IN-SO,488.06,535.81,34.84,28.63,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 16:00:00,India,Southern India,IN-SO,490.1,538.0,34.56,28.35,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 17:00:00,India,Southern India,IN-SO,489.26,537.09,34.68,28.33,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 18:00:00,India,Southern India,IN-SO,467.09,513.59,37.67,29.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 19:00:00,India,Southern India,IN-SO,464.37,510.68,38.03,29.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 20:00:00,India,Southern India,IN-SO,459.86,505.82,38.63,30.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 21:00:00,India,Southern India,IN-SO,457.22,502.98,38.99,30.35,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 22:00:00,India,Southern India,IN-SO,457.0,502.74,39.02,30.45,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2021-01-01 23:00:00,India,Southern India,IN-SO,461.42,507.5,38.43,30.15,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
